HEADER[~&~	~&~TRANS_TYP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~TRANS_TYP_DESC::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'PRAP'~&~	~&~'5A429044CF5941B0E0404F8189D80C66'~&~	~&~'1'~&~	~&~'Purchasing/AP Direct Deposit Records'~&~	~&~]RECORD
RECORD[~&~	~&~'TEM'~&~	~&~'KFS-ACH-TRANS-TYP-002'~&~	~&~'1'~&~	~&~'Travel and Entertainment Transaction Type'~&~	~&~]RECORD
