HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200710190000000000'~&~	~&~'683D47188F0089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710200000000000'~&~	~&~'683D47188F0189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710210000000000'~&~	~&~'683D47188F0289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710220000000000'~&~	~&~'683D47188F0389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710230000000000'~&~	~&~'683D47188F0489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710240000000000'~&~	~&~'683D47188F0589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710250000000000'~&~	~&~'683D47188F0689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710260000000000'~&~	~&~'683D47188F0789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710270000000000'~&~	~&~'683D47188F0889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710280000000000'~&~	~&~'683D47188F0989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710290000000000'~&~	~&~'683D47188F0A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710300000000000'~&~	~&~'683D47188F0B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710310000000000'~&~	~&~'683D47188F0C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200711010000000000'~&~	~&~'683D47188F0D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711020000000000'~&~	~&~'683D47188F0E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711030000000000'~&~	~&~'683D47188F0F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711040000000000'~&~	~&~'683D47188F1089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711050000000000'~&~	~&~'683D47188F1189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711060000000000'~&~	~&~'683D47188F1289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711070000000000'~&~	~&~'683D47188F1389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711080000000000'~&~	~&~'683D47188F1489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711090000000000'~&~	~&~'683D47188F1589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711100000000000'~&~	~&~'683D47188F1689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711110000000000'~&~	~&~'683D47188F1789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711120000000000'~&~	~&~'683D47188F1889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711130000000000'~&~	~&~'683D47188F1989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711140000000000'~&~	~&~'683D47188F1A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711150000000000'~&~	~&~'683D47188F1B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711160000000000'~&~	~&~'683D47188F1C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711170000000000'~&~	~&~'683D47188F1D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711180000000000'~&~	~&~'683D47188F1E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711190000000000'~&~	~&~'683D47188F1F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'200711200000000000'~&~	~&~'683D47188F2089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'05'~&~	~&~]RECORD
