HEADER[~&~	~&~DISB_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~DISB_TYP_DESC::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'ACH'~&~	~&~'33484450097B9196E043814FD8819196'~&~	~&~'0'~&~	~&~'ACH'~&~	~&~]RECORD
RECORD[~&~	~&~'CHCK'~&~	~&~'33484450097C9196E043814FD8819196'~&~	~&~'0'~&~	~&~'Check'~&~	~&~]RECORD
