HEADER[~&~	~&~PUR_COMM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PUR_COMM_DESC::VARCHAR~&~	~&~PUR_SALES_TAX_IND::VARCHAR~&~	~&~ITM_RSTRC_IND::VARCHAR~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'811430'~&~	~&~'486D3478905DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Footwear and Leather Goods Repair'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81149'~&~	~&~'486D34788BD4C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Personal and Household Goods Repair and Maintenance'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'811490'~&~	~&~'486D3478905EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Personal and Household Goods Repair and Maintenance'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812'~&~	~&~'486D347887F3C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Personal and Laundry Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8121'~&~	~&~'486D34788925C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Personal Care Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81211'~&~	~&~'486D34788BD5C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Hair, Nail, and Skin Care Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812111'~&~	~&~'486D3478905FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Barber Shops'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812112'~&~	~&~'486D34789060C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Beauty Salons'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812113'~&~	~&~'486D34789061C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Nail Salons'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81219'~&~	~&~'486D34788BD6C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Personal Care Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
