HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_50_CENT_AMT::DECIMAL~&~	~&~FDOC_25_CENT_AMT::DECIMAL~&~	~&~FDOC_10_CENT_AMT::DECIMAL~&~	~&~FDOC_5_CENT_AMT::DECIMAL~&~	~&~FDOC_1_CENT_AMT::DECIMAL~&~	~&~FDOC_OTHR_CENT_AMT::DECIMAL~&~	~&~FDOC_100_CENT_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AG4585904'~&~	~&~'CD'~&~	~&~'14034DEF1DA44D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AG4585904'~&~	~&~'CR'~&~	~&~'14034DEF1DA54D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AG5101804'~&~	~&~'CD'~&~	~&~'14034DEF1AB14D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AG5101804'~&~	~&~'CR'~&~	~&~'14034DEF1AB24D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AH1718204'~&~	~&~'CD'~&~	~&~'14034DEF1F3D4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AH1718204'~&~	~&~'CR'~&~	~&~'14034DEF1F3E4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AH2092704'~&~	~&~'CD'~&~	~&~'14034DEF1D324D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~'0.10'~&~	~&~'0.04'~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AH2092704'~&~	~&~'CR'~&~	~&~'14034DEF1D334D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~'0.10'~&~	~&~'0.04'~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AI2817804'~&~	~&~'CD'~&~	~&~'14034DEF1F034D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AI2817804'~&~	~&~'CR'~&~	~&~'14034DEF1F044D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AI4908304'~&~	~&~'CD'~&~	~&~'14034DEF1AE04D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.25'~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AI4908304'~&~	~&~'CR'~&~	~&~'14034DEF1AE14D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.25'~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AI5597204'~&~	~&~'CD'~&~	~&~'14034DEF1DEF4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AI5597204'~&~	~&~'CR'~&~	~&~'14034DEF1DF04D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AI8766804'~&~	~&~'CD'~&~	~&~'14034DEF1FB04D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'2.25'~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AI8766804'~&~	~&~'CR'~&~	~&~'14034DEF1FB14D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'2.25'~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AJ0019904'~&~	~&~'CD'~&~	~&~'14034DEF1C244D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~'0.20'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AJ0019904'~&~	~&~'CR'~&~	~&~'14034DEF1C254D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~'0.20'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK0137404'~&~	~&~'CD'~&~	~&~'14034DEF1A1D4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'0.20'~&~	~&~'0.05'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK0137404'~&~	~&~'CR'~&~	~&~'14034DEF1A1E4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'0.20'~&~	~&~'0.05'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK1550904'~&~	~&~'CD'~&~	~&~'14034DEF176B4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK1550904'~&~	~&~'CR'~&~	~&~'14034DEF176C4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AK2708404'~&~	~&~'CD'~&~	~&~'14034DEF18D04D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'3.00'~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AK2708404'~&~	~&~'CR'~&~	~&~'14034DEF18D14D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'3.00'~&~	~&~'R'~&~	~&~]RECORD
