HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FS_FUNC_CTRL_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FS_FUNC_ACTIVE_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'BCACTV'~&~	~&~'DCDFA4D8-A119-2587-E5BB-CF42121FE97C'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BCGENE'~&~	~&~'745683B5-E4FF-239D-1799-3B2065A8115F'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BCUPDT'~&~	~&~'026BE251-2752-AEA8-18C8-7E75157792D6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BSSYNC'~&~	~&~'4E299B20-D8CA-3A40-5E71-C66777E05F2B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'CSFUPD'~&~	~&~'4ED8D644-CEB8-F872-83EE-DB6D5D9AB4B7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'PSSYNC'~&~	~&~'8AAD0CC1-7B53-BBD9-1354-B989EE2452C2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BAACTV'~&~	~&~'38963eff-49c9-4bbf-8f60-3506324c6fb5'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BASEAD'~&~	~&~'9c0f1c91-30f9-4782-a962-d6593a17d764'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BCACTV'~&~	~&~'8bf9bd48-ba55-441d-a407-06a39f21632c'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BCGENE'~&~	~&~'b070ef50-412b-4535-aa3c-381b176f4d00'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BCUPDT'~&~	~&~'fc1008b1-81d5-44b5-ac52-a5dd2d271c88'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BSSYNC'~&~	~&~'675ba1c4-d547-4002-a2f8-163a54f9e087'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'CSFUPD'~&~	~&~'70f2f993-9fe0-4f51-abea-2b2b2ef34dc8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'PSSYNC'~&~	~&~'5904eeaf-182f-47c9-8be2-5a184430bb41'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BAACTV'~&~	~&~'ad27c1d2-63a2-4a23-8665-830ef8d59708'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BASEAD'~&~	~&~'f05dca8f-a199-4e97-9f02-636df6dc8cf1'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BCACTV'~&~	~&~'03d1b928-0d1b-414c-b1f7-9eacaaaf8056'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BCGENE'~&~	~&~'2d12924f-17cf-4e33-a77f-7094d62568e2'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BCUPDT'~&~	~&~'3121f085-6a04-4dc3-bc03-7ba415dfd4e7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BSSYNC'~&~	~&~'adc7424c-6197-43df-a7f0-90b06332b2fa'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'CSFUPD'~&~	~&~'0d3ae003-ec90-4db5-b1fb-45e046d04b29'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'PSSYNC'~&~	~&~'ced9b945-063c-42ab-b957-86aac4316149'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BAACTV'~&~	~&~'27d643db-bda4-4a52-9ae3-5041be078bd3'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BASEAD'~&~	~&~'dd21edbd-7d4d-4185-ac46-083e3b3fcb90'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BCACTV'~&~	~&~'44a51a66-3af0-4e06-af8f-1c0818513015'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BCGENE'~&~	~&~'f8023a1e-e9c4-43f4-9c74-d3e2b307410e'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BCUPDT'~&~	~&~'dc8b0b20-0f1f-4bcc-a465-4ea479a700a7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BSSYNC'~&~	~&~'5ae8147c-6065-44cf-8978-bf7e34ce6e8e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'CSFUPD'~&~	~&~'f448a885-128b-497b-96f9-2ae966b08868'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'PSSYNC'~&~	~&~'fe730e0f-53aa-445f-97fb-89bf91b7aa53'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BAACTV'~&~	~&~'ddd2c273-2581-4bd7-9fe4-4721917c390d'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BASEAD'~&~	~&~'edd9d379-d55d-47ab-bfbf-1b8538ef8db8'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BCACTV'~&~	~&~'c15a9661-d4e3-48be-8f0c-0e457e14019b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BCGENE'~&~	~&~'4b2dee70-e24f-4d20-8885-77f87c95a7a0'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BCUPDT'~&~	~&~'e1b5ae98-c9e2-4287-a202-54c13863d28b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BSSYNC'~&~	~&~'b95870e9-3c09-4a0b-8e3b-212bdd4f3507'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'CSFUPD'~&~	~&~'074392fb-6997-4c6d-88c7-f98792117c95'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
