HEADER[~&~	~&~NTE_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~TYP_DESC_TXT::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BO'~&~	~&~'2D3C47C53BE6B016E043814FD881B016'~&~	~&~'1'~&~	~&~'DOCUMENT BUSINESS OBJECT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DH'~&~	~&~'2D3C47C53BE7B016E043814FD881B016'~&~	~&~'1'~&~	~&~'DOCUMENT HEADER'~&~	~&~'Y'~&~	~&~]RECORD
