HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~AWRD_ICR_ENTRY_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~TRN_DEBIT_CRDT_CD::VARCHAR~&~	~&~AWRD_ICR_RATE_PCT::DECIMAL~&~	~&~ACCT_ICR_RATE_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2011'~&~	~&~'019'~&~	~&~'2'~&~	~&~'397E258C-EF22-9607-FE43-038A71EC1D93'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'10.950'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'020'~&~	~&~'1'~&~	~&~'4B416E41-51AB-E4AD-D633-4DBB766CEB05'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'020'~&~	~&~'2'~&~	~&~'6A8EA32C-F89A-5F98-DFC8-40954EBAB109'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'021'~&~	~&~'1'~&~	~&~'9CAF5B0A-B00F-5104-7083-006A87D46CAB'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.110'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'021'~&~	~&~'2'~&~	~&~'D13AB133-8F76-34B3-FA29-CD198A9416E5'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.110'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'022'~&~	~&~'1'~&~	~&~'DEA6AAD1-BE55-6FC6-4CE6-D49E84B077A7'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.140'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'022'~&~	~&~'2'~&~	~&~'FAF9243C-3D6F-1B75-5739-19D9164CF309'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.140'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'023'~&~	~&~'1'~&~	~&~'9433E8D9-78D0-71B6-AB04-6DFFD3B3F5DE'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'11.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'023'~&~	~&~'2'~&~	~&~'1477B043-ACAC-EDC9-8E95-E78C1999C262'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'11.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'024'~&~	~&~'1'~&~	~&~'6EFBAED5-041B-F1F9-E576-06DDCA8C325C'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'12.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'024'~&~	~&~'2'~&~	~&~'CD90BA62-98D4-9176-887F-3977C50450D2'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'12.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'025'~&~	~&~'1'~&~	~&~'693C3079-E088-7949-217F-E9EA37B8B5E7'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'12.460'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'025'~&~	~&~'2'~&~	~&~'F38BC5EA-C1DB-F700-E2FE-8F4694276E5A'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'12.460'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'026'~&~	~&~'1'~&~	~&~'30894CE4-119B-4FE7-4C41-A032D5FB81F8'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'12.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'026'~&~	~&~'2'~&~	~&~'69276093-8B50-371F-F0AD-E1CD40602459'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'12.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'027'~&~	~&~'1'~&~	~&~'D28B520A-DFC3-DB70-3F8C-731F6E9574F9'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'12.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'027'~&~	~&~'2'~&~	~&~'95BED983-4244-76A7-5B36-65F489B20214'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'12.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'028'~&~	~&~'1'~&~	~&~'341F5714-9E42-FF01-A77B-E0201A2CCEB2'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'12.780'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'028'~&~	~&~'2'~&~	~&~'F732DB50-398B-76E3-41FA-55D94D3F9CD2'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'12.780'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'029'~&~	~&~'1'~&~	~&~'0E647AF5-D873-43C8-C5E7-DD4DFDB22245'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'13.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'029'~&~	~&~'2'~&~	~&~'771CE557-6BA8-8D50-72E3-B00FD0A0F8EB'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'13.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'030'~&~	~&~'1'~&~	~&~'9A87728F-4D6E-D65B-16D0-1663ADE3BEF0'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'14.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'030'~&~	~&~'2'~&~	~&~'2E3028FB-C249-6DC5-7EAD-4A7E8C970815'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'14.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'031'~&~	~&~'1'~&~	~&~'5FF68B47-7B56-A5AE-CBC9-241C138FD4A0'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'15.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'031'~&~	~&~'2'~&~	~&~'FBDCC4D3-1236-58FF-2814-6693E5443A16'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'15.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'032'~&~	~&~'1'~&~	~&~'5A0B1F5D-611B-854E-21FE-B469CC2938B9'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'15.920'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'032'~&~	~&~'2'~&~	~&~'6DD73233-461D-16B6-9A2D-89EABA710DFA'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'15.920'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'033'~&~	~&~'1'~&~	~&~'D2FEEAB6-DEA1-F4DD-4F65-7E3B485324C1'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'16.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'033'~&~	~&~'2'~&~	~&~'3EE8E24C-F779-49AD-5F95-4F20B7F8CE41'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'16.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'034'~&~	~&~'1'~&~	~&~'5176C9A0-17C7-17D0-571A-68B2609625CA'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'16.190'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'034'~&~	~&~'2'~&~	~&~'25E945EE-9F32-4223-90C6-301035B15330'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'16.190'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'035'~&~	~&~'1'~&~	~&~'E34C8630-72FB-238B-CFF1-2C1E2B1204F5'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'17.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'035'~&~	~&~'2'~&~	~&~'6997BE32-853E-A778-94BD-6D4456CBC761'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'17.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'036'~&~	~&~'1'~&~	~&~'70B49893-75E0-BB88-6C62-43DAF897EF68'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'17.330'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'036'~&~	~&~'2'~&~	~&~'37D9AC62-E11A-0C62-5F75-B398ED9A6CB3'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'17.330'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'037'~&~	~&~'1'~&~	~&~'9953A11F-6A25-0C23-ED0F-8CF7F6986F9F'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'17.340'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'037'~&~	~&~'2'~&~	~&~'309423C8-70E0-EA0B-76F3-FEEE159805CF'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'17.340'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'038'~&~	~&~'1'~&~	~&~'E6A776B5-96B7-4152-0138-9F064E71F3E0'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'17.440'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'038'~&~	~&~'2'~&~	~&~'7003CEAC-472F-D3A1-265B-3162F23EA6F7'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'17.440'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'039'~&~	~&~'1'~&~	~&~'CBC28C94-A65E-A4DE-2ACD-E9C81302D66D'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'18.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'039'~&~	~&~'2'~&~	~&~'2F0F0889-3851-A109-BE8A-979D7223F9A5'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'18.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'040'~&~	~&~'1'~&~	~&~'124A31CC-9ECE-FA29-7C1B-8FBD7FE9C2C5'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'18.180'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'040'~&~	~&~'2'~&~	~&~'E17C0DB9-EFB4-A478-0593-A8D89C92DB7A'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'18.180'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'041'~&~	~&~'1'~&~	~&~'969A89EB-FCD8-0C96-EBEC-CEF96C92DE32'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'20.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'041'~&~	~&~'2'~&~	~&~'DB135EF2-9260-BFD2-C357-A41F38E37ADC'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'20.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'042'~&~	~&~'1'~&~	~&~'77DCA7A0-C108-6987-2E97-5F08DFB44DC9'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'20.120'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'042'~&~	~&~'2'~&~	~&~'F438CAD9-FC90-3D90-3C47-A1AB8D0F2940'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'20.120'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'043'~&~	~&~'1'~&~	~&~'6AFE20B1-13FB-D7B7-B502-519D3CD6A86A'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'20.600'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'043'~&~	~&~'2'~&~	~&~'C23EA515-77D4-1424-7A7F-430F14BC70FA'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'20.600'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'044'~&~	~&~'1'~&~	~&~'1FD4BCED-1ADB-B1C8-345C-EA1CF1AF33BD'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'20.660'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'044'~&~	~&~'2'~&~	~&~'BA83A878-9D37-B89B-6854-7E4F96BA4689'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'20.660'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'045'~&~	~&~'1'~&~	~&~'87468BE2-D808-ED5F-6CF3-AE65C0F36929'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'20.730'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'045'~&~	~&~'2'~&~	~&~'D7721F44-12A7-B1B4-3944-9E79B567423B'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'20.730'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'046'~&~	~&~'1'~&~	~&~'D6322C97-3B7A-8917-FFAA-EF704CCE07D6'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'21.330'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'046'~&~	~&~'2'~&~	~&~'F9CFC5A7-918A-F778-75D1-92FCC0E72093'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'21.330'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'047'~&~	~&~'1'~&~	~&~'E6FC3C0B-A3F3-B678-E114-A781B55A1CD7'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'21.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'047'~&~	~&~'2'~&~	~&~'17BE6AD2-2D3D-A87F-78B1-4FBC4F168D2D'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'21.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'048'~&~	~&~'1'~&~	~&~'9D6EFE72-C500-C5EA-AE3E-44EC5431E22C'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'22.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'048'~&~	~&~'2'~&~	~&~'9258348C-CA78-6BC6-9B7C-AC0E36190CB4'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'22.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'049'~&~	~&~'1'~&~	~&~'923C4F2A-FDCF-D00B-5944-C3344569F01B'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'22.260'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'049'~&~	~&~'2'~&~	~&~'BD4C0786-4544-9199-20E5-951E1683F399'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'22.260'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'050'~&~	~&~'1'~&~	~&~'EB32EB8C-B64B-5051-DA38-55BEDCDF212C'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'23.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'050'~&~	~&~'2'~&~	~&~'3F79F9DD-6804-8A46-7EA9-E77D422A4668'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'23.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'051'~&~	~&~'1'~&~	~&~'D829CDB5-74FE-F634-9E63-580DC2C9A07A'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'23.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'051'~&~	~&~'2'~&~	~&~'EAE671DC-4C51-7D43-916B-1F6BAF407119'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'23.500'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'052'~&~	~&~'1'~&~	~&~'591AABC1-D579-472C-C2E5-D57D4A34C22A'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'23.730'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'052'~&~	~&~'2'~&~	~&~'67388032-E3CF-7138-D549-212EB01197DD'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'23.730'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'053'~&~	~&~'1'~&~	~&~'2D3D4A40-BE05-7423-3BA4-DD5D0170726C'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'24.200'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'053'~&~	~&~'2'~&~	~&~'03089440-A5D2-4A84-D4C8-8158E0625552'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'24.200'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'054'~&~	~&~'1'~&~	~&~'15E855D1-B888-72EF-5997-919A6DF1B490'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'25.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'054'~&~	~&~'2'~&~	~&~'4DBB5FC8-339D-FF5E-AEE3-6F792B92AD0D'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'25.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'055'~&~	~&~'1'~&~	~&~'16488288-44EC-090D-CC04-9C1745D493FF'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'25.300'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'055'~&~	~&~'2'~&~	~&~'58B3DC95-8BA2-0EBB-12C7-3134F3248064'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'25.300'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'056'~&~	~&~'1'~&~	~&~'A91D2986-BBC5-6B1C-C07D-C7A5BAC59F12'~&~	~&~'2'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'26.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'056'~&~	~&~'2'~&~	~&~'798FA374-D222-1DA7-9886-70CEAB5EBC5F'~&~	~&~'2'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'26.000'~&~	~&~'Y'~&~	~&~]RECORD
