HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~AWRD_ICR_ENTRY_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~TRN_DEBIT_CRDT_CD::VARCHAR~&~	~&~AWRD_ICR_RATE_PCT::DECIMAL~&~	~&~ACCT_ICR_RATE_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'006'~&~	~&~'1'~&~	~&~'5DBE51F1-2967-C9B7-FFBA-4A47B47448EE'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'5.280'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'006'~&~	~&~'2'~&~	~&~'8DEC188A-2933-9F70-CDB8-57AE185988EC'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'5.280'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'007'~&~	~&~'1'~&~	~&~'6B2D2089-A837-1FE1-4B0E-EEAACB98845E'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'5.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'007'~&~	~&~'2'~&~	~&~'CFF969C5-7DD8-8F3E-FBA2-4EB876AD62F5'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'5.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'008'~&~	~&~'1'~&~	~&~'09813408-5D54-CFD1-A431-A5BDB35D0A04'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'6.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'008'~&~	~&~'2'~&~	~&~'FB13B486-DAB7-0B3A-6E5F-CF623E13DC5D'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'6.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'009'~&~	~&~'1'~&~	~&~'AAE8AD91-FE21-769B-34FD-28957009D938'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'6.400'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'009'~&~	~&~'2'~&~	~&~'CB39B141-6392-9E17-A8A4-D6553B86164C'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'6.400'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'010'~&~	~&~'1'~&~	~&~'CEC912B4-38FA-5E89-A4FB-0CF7E8138C73'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'7.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'010'~&~	~&~'2'~&~	~&~'278CFBC1-19B9-62A8-831C-5AB025FAA237'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'7.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'011'~&~	~&~'1'~&~	~&~'7924D15B-2F7B-E4FD-927B-000A39B1A6E7'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'7.450'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'011'~&~	~&~'2'~&~	~&~'DA5CBC67-6142-9363-2E46-AC67C1DE858D'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'7.450'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'012'~&~	~&~'1'~&~	~&~'CCD1C1FA-50F0-52DC-4393-8C5C87D9112B'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'7.640'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'012'~&~	~&~'2'~&~	~&~'AE122FFD-88BB-98D8-C193-3324158E97F2'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'7.640'~&~	~&~'Y'~&~	~&~]RECORD
