HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACT_FIN_BAL_TYP_CD::VARCHAR~&~	~&~BDGT_CHK_BALTYP_CD::VARCHAR~&~	~&~BDGT_CHK_OPTN_CD::VARCHAR~&~	~&~UNIV_FSCYR_STRT_YR::DECIMAL~&~	~&~UNIV_FSCYR_STRT_MO::VARCHAR~&~	~&~FOBJTP_INC_CSH_CD::VARCHAR~&~	~&~FOBJTP_XPND_EXP_CD::VARCHAR~&~	~&~FOBJTP_XPNDNEXP_CD::VARCHAR~&~	~&~FOBJTP_EXPNXPND_CD::VARCHAR~&~	~&~FOBJ_TYP_ASSET_CD::VARCHAR~&~	~&~FOBJ_TYP_LBLTY_CD::VARCHAR~&~	~&~FOBJ_TYP_FNDBAL_CD::VARCHAR~&~	~&~EXT_ENC_FBALTYP_CD::VARCHAR~&~	~&~INT_ENC_FBALTYP_CD::VARCHAR~&~	~&~PRE_ENC_FBALTYP_CD::VARCHAR~&~	~&~ELIM_FINBAL_TYP_CD::VARCHAR~&~	~&~FOBJTP_INC_NCSH_CD::VARCHAR~&~	~&~FOBJTP_CSH_NINC_CD::VARCHAR~&~	~&~UNIV_FIN_COA_CD::VARCHAR~&~	~&~UNIV_FISCAL_YR_NM::VARCHAR~&~	~&~FIN_BEGBALLOAD_IND::VARCHAR~&~	~&~CSTSHR_ENCUM_FIN_BAL_TYP_CD::VARCHAR~&~	~&~BASE_BDGT_FIN_BAL_TYP_CD::VARCHAR~&~	~&~MO_BDGT_FIN_BAL_TYP_CD::VARCHAR~&~	~&~FIN_OBJECT_TYP_TRNFR_INC_CD::VARCHAR~&~	~&~FIN_OBJECT_TYP_TRNFR_EXP_CD::VARCHAR~&~	~&~NMNL_FIN_BAL_TYP_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2016'~&~	~&~'dfb23a06-39e5-4a80-a913-2e6d7d7fe6cf'~&~	~&~'2'~&~	~&~'AC'~&~	~&~'CB'~&~	~&~'Y'~&~	~&~'2015'~&~	~&~'07'~&~	~&~'IN'~&~	~&~'EX'~&~	~&~'EE'~&~	~&~'ES'~&~	~&~'AS'~&~	~&~'LI'~&~	~&~'FB'~&~	~&~'EX'~&~	~&~'IE'~&~	~&~'PE'~&~	~&~'TR'~&~	~&~'IC'~&~	~&~'CH'~&~	~&~NULL~&~	~&~'2015-2016'~&~	~&~'N'~&~	~&~'CE'~&~	~&~'BB'~&~	~&~'MB'~&~	~&~'TI'~&~	~&~'TE'~&~	~&~'NB'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'531f3209-72c2-42dd-84f4-f2e7e2780674'~&~	~&~'2'~&~	~&~'AC'~&~	~&~'CB'~&~	~&~'Y'~&~	~&~'2016'~&~	~&~'07'~&~	~&~'IN'~&~	~&~'EX'~&~	~&~'EE'~&~	~&~'ES'~&~	~&~'AS'~&~	~&~'LI'~&~	~&~'FB'~&~	~&~'EX'~&~	~&~'IE'~&~	~&~'PE'~&~	~&~'TR'~&~	~&~'IC'~&~	~&~'CH'~&~	~&~NULL~&~	~&~'2016-2017'~&~	~&~'N'~&~	~&~'CE'~&~	~&~'BB'~&~	~&~'MB'~&~	~&~'TI'~&~	~&~'TE'~&~	~&~'NB'~&~	~&~]RECORD
