HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_CONS_OBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_CONS_OBJ_NM::VARCHAR~&~	~&~FIN_CONOBJ_SHRT_NM::VARCHAR~&~	~&~FIN_CONOBJ_ACTV_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'HO'~&~	~&~'TRSF'~&~	~&~'014F3DAF73E1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'TRVL'~&~	~&~'014F3DAF73E2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'ASEX'~&~	~&~'014F3DAF73E3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'ASRE'~&~	~&~'014F3DAF73E4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'ASST'~&~	~&~'014F3DAF73E5A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'CMPN'~&~	~&~'014F3DAF73E6A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'CPTL'~&~	~&~'014F3DAF73E7A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'FDBL'~&~	~&~'014F3DAF73E8A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'GENX'~&~	~&~'014F3DAF73E9A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'IDEX'~&~	~&~'014F3DAF73EAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'IDIN'~&~	~&~'014F3DAF73EBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'LIAB'~&~	~&~'014F3DAF73ECA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'OTRE'~&~	~&~'014F3DAF73EDA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'RSRX'~&~	~&~'014F3DAF73EEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'SAPR'~&~	~&~'014F3DAF73EFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'SCHL'~&~	~&~'014F3DAF73F0A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'STFE'~&~	~&~'014F3DAF73F1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'TFEX'~&~	~&~'014F3DAF73F2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'TFIN'~&~	~&~'014F3DAF73F3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'TRSF'~&~	~&~'014F3DAF73F4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'IA'~&~	~&~'TRVL'~&~	~&~'014F3DAF73F5A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'ASEX'~&~	~&~'014F3DAF73F6A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'ASRE'~&~	~&~'014F3DAF73F7A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'ASST'~&~	~&~'014F3DAF73F8A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'CMPN'~&~	~&~'014F3DAF73F9A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'CPTL'~&~	~&~'014F3DAF73FAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'FDBL'~&~	~&~'014F3DAF73FBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'GENX'~&~	~&~'014F3DAF73FCA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'IDEX'~&~	~&~'014F3DAF73FDA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'IDIN'~&~	~&~'014F3DAF73FEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'LIAB'~&~	~&~'014F3DAF73FFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'OTRE'~&~	~&~'014F3DAF7400A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'RSRX'~&~	~&~'014F3DAF7401A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'SAPR'~&~	~&~'014F3DAF7402A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'SCHL'~&~	~&~'014F3DAF7403A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'STFE'~&~	~&~'014F3DAF7404A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'TFEX'~&~	~&~'014F3DAF7405A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'TFIN'~&~	~&~'014F3DAF7406A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'TRSF'~&~	~&~'014F3DAF7407A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'IN'~&~	~&~'TRVL'~&~	~&~'014F3DAF7408A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'ASEX'~&~	~&~'014F3DAF7409A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'ASRE'~&~	~&~'014F3DAF740AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'ASST'~&~	~&~'014F3DAF740BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'AUXE'~&~	~&~'014F3DAF747BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'AUXILIARY ENTERPRISES'~&~	~&~'AUX ENT'~&~	~&~'N'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'CMPN'~&~	~&~'014F3DAF740CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'CPTL'~&~	~&~'014F3DAF740DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'FDBL'~&~	~&~'014F3DAF740EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'GENX'~&~	~&~'014F3DAF740FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'IDEX'~&~	~&~'014F3DAF7410A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'IDIN'~&~	~&~'014F3DAF7411A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'LIAB'~&~	~&~'014F3DAF7412A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'OTRE'~&~	~&~'014F3DAF7413A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'RSRX'~&~	~&~'014F3DAF7414A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'SAPR'~&~	~&~'014F3DAF7415A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'SCHL'~&~	~&~'014F3DAF7416A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'STFE'~&~	~&~'014F3DAF7417A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'TFEX'~&~	~&~'014F3DAF7418A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'TFIN'~&~	~&~'014F3DAF7419A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'TRSF'~&~	~&~'014F3DAF741AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'IU'~&~	~&~'TRVL'~&~	~&~'014F3DAF741BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'ASEX'~&~	~&~'014F3DAF741CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'ASRE'~&~	~&~'014F3DAF741DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'ASST'~&~	~&~'014F3DAF741EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'CMPN'~&~	~&~'014F3DAF741FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'CPTL'~&~	~&~'014F3DAF7420A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'FDBL'~&~	~&~'014F3DAF7421A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'GENX'~&~	~&~'014F3DAF7422A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'IDEX'~&~	~&~'014F3DAF7423A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'IDIN'~&~	~&~'014F3DAF7424A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'LIAB'~&~	~&~'014F3DAF7425A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'OTRE'~&~	~&~'014F3DAF7426A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'RSRX'~&~	~&~'014F3DAF7427A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'SAPR'~&~	~&~'014F3DAF7428A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'SCHL'~&~	~&~'014F3DAF7429A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'STFE'~&~	~&~'014F3DAF742AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'TFEX'~&~	~&~'014F3DAF742BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'TFIN'~&~	~&~'014F3DAF742CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'TRSF'~&~	~&~'014F3DAF742DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'KO'~&~	~&~'TRVL'~&~	~&~'014F3DAF742EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'ASEX'~&~	~&~'014F3DAF742FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'ASRE'~&~	~&~'014F3DAF7430A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'ASST'~&~	~&~'014F3DAF7431A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'CMPN'~&~	~&~'014F3DAF7432A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'CPTL'~&~	~&~'014F3DAF7433A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'FDBL'~&~	~&~'014F3DAF7434A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'GENX'~&~	~&~'014F3DAF7435A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'IDEX'~&~	~&~'014F3DAF7436A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'IDIN'~&~	~&~'014F3DAF7437A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'LIAB'~&~	~&~'014F3DAF7438A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'OTRE'~&~	~&~'014F3DAF7439A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'RSRX'~&~	~&~'014F3DAF743AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'SAPR'~&~	~&~'014F3DAF743BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'SCHL'~&~	~&~'014F3DAF743CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'STFE'~&~	~&~'014F3DAF743DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'TFEX'~&~	~&~'014F3DAF743EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'TFIN'~&~	~&~'014F3DAF743FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'TRSF'~&~	~&~'014F3DAF7440A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'NW'~&~	~&~'TRVL'~&~	~&~'014F3DAF7441A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'SB'~&~	~&~'ASEX'~&~	~&~'014F3DAF7442A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'SB'~&~	~&~'ASRE'~&~	~&~'014F3DAF7443A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
