HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_CONS_OBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_CONS_OBJ_NM::VARCHAR~&~	~&~FIN_CONOBJ_SHRT_NM::VARCHAR~&~	~&~FIN_CONOBJ_ACTV_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'TRVL'~&~	~&~'014F3DAF7396A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ASEX'~&~	~&~'014F3DAF7397A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ASRE'~&~	~&~'014F3DAF7398A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ASST'~&~	~&~'014F3DAF7399A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CMPN'~&~	~&~'014F3DAF739AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CPTL'~&~	~&~'014F3DAF739BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'FDBL'~&~	~&~'014F3DAF739CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'GENX'~&~	~&~'014F3DAF739DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'IDEX'~&~	~&~'014F3DAF739EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'IDIN'~&~	~&~'014F3DAF739FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'LIAB'~&~	~&~'014F3DAF73A0A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'OTRE'~&~	~&~'014F3DAF73A1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'RSRX'~&~	~&~'014F3DAF73A2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'SAPR'~&~	~&~'014F3DAF73A3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'SCHL'~&~	~&~'014F3DAF73A4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'STFE'~&~	~&~'014F3DAF73A5A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'TFEX'~&~	~&~'014F3DAF73A6A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'TFIN'~&~	~&~'014F3DAF73A7A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'TRSF'~&~	~&~'014F3DAF73A8A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'TRVL'~&~	~&~'014F3DAF73A9A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'ASEX'~&~	~&~'014F3DAF73AAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'ASRE'~&~	~&~'014F3DAF73ABA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'ASST'~&~	~&~'014F3DAF73ACA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'CMPN'~&~	~&~'014F3DAF73ADA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'CPTL'~&~	~&~'014F3DAF73AEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'FDBL'~&~	~&~'014F3DAF73AFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'GENX'~&~	~&~'014F3DAF73B0A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'IDEX'~&~	~&~'014F3DAF73B1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'IDIN'~&~	~&~'014F3DAF73B2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'LIAB'~&~	~&~'014F3DAF73B3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'OTRE'~&~	~&~'014F3DAF73B4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'OTHER REVENUE'~&~	~&~'OTH REVENUE'~&~	~&~'Y'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'RSRX'~&~	~&~'014F3DAF73B5A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'RESERVES'~&~	~&~'RESERVES'~&~	~&~'Y'~&~	~&~'15'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'SAPR'~&~	~&~'014F3DAF73B6A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STATE APPROPRIATIONS'~&~	~&~'STATE APPROP'~&~	~&~'Y'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'SCHL'~&~	~&~'014F3DAF73B7A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FINANCIAL AID'~&~	~&~'FIN AID'~&~	~&~'Y'~&~	~&~'08'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'STFE'~&~	~&~'014F3DAF73B8A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'TFEX'~&~	~&~'014F3DAF73B9A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'TFIN'~&~	~&~'014F3DAF73BAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'TRSF'~&~	~&~'014F3DAF73BBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'EA'~&~	~&~'TRVL'~&~	~&~'014F3DAF73BCA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
