HEADER[~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~STATE_CD::VARCHAR~&~	~&~TAX_REGION_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'US'~&~	~&~'AZ'~&~	~&~'5'~&~	~&~'5ACF22CFC6134AB0E0404F8189D87AB9'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'US'~&~	~&~'CA'~&~	~&~'2'~&~	~&~'5ACF22CFC6124AB0E0404F8189D87AB9'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
