HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2010'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'7FED379D-D158-EA9B-17B7-766C606F0523'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'0833D9AB-ADEC-9933-51DC-B27F27A1408C'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'5B57397B-CA85-19C0-31A2-6441F04B540D'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'B3800866-CB53-04AA-8E15-EE81724B7C90'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'ABF944F6-CBF8-1DC3-FE7C-E0597899ACE0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'D56C1794-0E41-813A-50A9-B280ED0CD478'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'07BA4636-030F-73B4-33E5-10E6EB8EBC51'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'3C5ED31D-7EA5-046F-A96B-C7D237191B23'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'C1845EFB-7DB7-855F-2E7E-A8EE2455D772'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BI'~&~	~&~'RGW'~&~	~&~'HRW'~&~	~&~'EF714808-FE36-4D1B-225E-24C4C9747239'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
