HEADER[~&~	~&~CPTL_AST_SYS_ST_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTL_AST_SYS_ST_DESC::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'MOD'~&~	~&~'5431A26A0E3A9722E0404F8189D874DC'~&~	~&~'1'~&~	~&~'Modify Existing System'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'NEW'~&~	~&~'5431A26A0E399722E0404F8189D874DC'~&~	~&~'1'~&~	~&~'New System'~&~	~&~'Y'~&~	~&~]RECORD
