HEADER[~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~SNSTV_DTA_DESC::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'ANIM'~&~	~&~'636024D36C7A8EC6E0404F8189D80405'~&~	~&~'1'~&~	~&~'Animal'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'RADI'~&~	~&~'636024D36C7B8EC6E0404F8189D80405'~&~	~&~'1'~&~	~&~'Radio Active Material'~&~	~&~'Y'~&~	~&~]RECORD
