HEADER[~&~	~&~ITM_REAS_ADD_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ITM_REAS_ADD_DESC::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'NTOR'~&~	~&~'4A9AB8C8A74F6B33E0404F8189D86C69'~&~	~&~'1'~&~	~&~'Not on Order'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'SUBS'~&~	~&~'4A9AB8C8A7506B33E0404F8189D86C69'~&~	~&~'1'~&~	~&~'Substitution'~&~	~&~'Y'~&~	~&~]RECORD
