HEADER[~&~	~&~ROLE_RSP_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~RSP_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1063'~&~	~&~'KFS1063'~&~	~&~'1'~&~	~&~'48'~&~	~&~'7'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1064'~&~	~&~'KFS1064'~&~	~&~'1'~&~	~&~'5'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1065'~&~	~&~'KFS1065'~&~	~&~'1'~&~	~&~'50'~&~	~&~'49'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1068'~&~	~&~'KFS1068'~&~	~&~'1'~&~	~&~'53'~&~	~&~'26'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10692'~&~	~&~'KFS-ROLE-RSP-034'~&~	~&~'1'~&~	~&~'KFS10686'~&~	~&~'KFS10687'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1070'~&~	~&~'KFS1070'~&~	~&~'1'~&~	~&~'41'~&~	~&~'29'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10711'~&~	~&~'KFS-ROLE-RSP-035'~&~	~&~'1'~&~	~&~'KFS10712'~&~	~&~'KFS10706'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1077'~&~	~&~'KFS1077'~&~	~&~'1'~&~	~&~'55'~&~	~&~'85'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1079'~&~	~&~'KFS1079'~&~	~&~'1'~&~	~&~'60'~&~	~&~'91'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1082'~&~	~&~'KFS1082'~&~	~&~'1'~&~	~&~'7'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1083'~&~	~&~'KFS1083'~&~	~&~'1'~&~	~&~'70'~&~	~&~'51'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10848'~&~	~&~'KFS-ROLE_RSP-036'~&~	~&~'1'~&~	~&~'60'~&~	~&~'KFS10843'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1085'~&~	~&~'KFS1085'~&~	~&~'1'~&~	~&~'72'~&~	~&~'41'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10855'~&~	~&~'KFS-ROLE_RSP-037'~&~	~&~'1'~&~	~&~'41'~&~	~&~'KFS10850'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10866'~&~	~&~'KFS-ROLE-RSP-038'~&~	~&~'1'~&~	~&~'41'~&~	~&~'KFS10861'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1087'~&~	~&~'KFS1087'~&~	~&~'1'~&~	~&~'74'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1088'~&~	~&~'KFS1088'~&~	~&~'1'~&~	~&~'26'~&~	~&~'75'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1089'~&~	~&~'KFS1089'~&~	~&~'1'~&~	~&~'79'~&~	~&~'76'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1090'~&~	~&~'KFS1090'~&~	~&~'1'~&~	~&~'8'~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1091'~&~	~&~'KFS1091'~&~	~&~'1'~&~	~&~'9'~&~	~&~'19'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1092'~&~	~&~'KFS1092'~&~	~&~'1'~&~	~&~'68'~&~	~&~'83'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1093'~&~	~&~'KFS1093'~&~	~&~'1'~&~	~&~'62'~&~	~&~'94'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1094'~&~	~&~'KFS1094'~&~	~&~'1'~&~	~&~'38'~&~	~&~'95'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10954'~&~	~&~'KFS-ROLE-RSP-039'~&~	~&~'1'~&~	~&~'KFS10906'~&~	~&~'KFS10949'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1097'~&~	~&~'KFS1097'~&~	~&~'1'~&~	~&~'76'~&~	~&~'97'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1099'~&~	~&~'KFS1099'~&~	~&~'1'~&~	~&~'41'~&~	~&~'99'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1100'~&~	~&~'KFS1100'~&~	~&~'1'~&~	~&~'3'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1101'~&~	~&~'KFS1101'~&~	~&~'1'~&~	~&~'3'~&~	~&~'101'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1107'~&~	~&~'KFS1107'~&~	~&~'1'~&~	~&~'41'~&~	~&~'107'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1108'~&~	~&~'KFS1108'~&~	~&~'1'~&~	~&~'41'~&~	~&~'108'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1109'~&~	~&~'KFS1109'~&~	~&~'1'~&~	~&~'22'~&~	~&~'109'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1111'~&~	~&~'KFS1111'~&~	~&~'1'~&~	~&~'62'~&~	~&~'111'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1112'~&~	~&~'KFS1112'~&~	~&~'1'~&~	~&~'39'~&~	~&~'112'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1113'~&~	~&~'KFS1113'~&~	~&~'1'~&~	~&~'60'~&~	~&~'113'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1114'~&~	~&~'KFS1114'~&~	~&~'1'~&~	~&~'91'~&~	~&~'114'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1115'~&~	~&~'KFS1115'~&~	~&~'1'~&~	~&~'34'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1116'~&~	~&~'KFS1116'~&~	~&~'1'~&~	~&~'60'~&~	~&~'115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1117'~&~	~&~'KFS1117'~&~	~&~'1'~&~	~&~'30'~&~	~&~'116'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1118'~&~	~&~'KFS1118'~&~	~&~'1'~&~	~&~'7'~&~	~&~'117'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1119'~&~	~&~'KFS1119'~&~	~&~'1'~&~	~&~'60'~&~	~&~'118'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1120'~&~	~&~'KFS1120'~&~	~&~'1'~&~	~&~'76'~&~	~&~'119'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1121'~&~	~&~'KFS1121'~&~	~&~'1'~&~	~&~'41'~&~	~&~'120'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1124'~&~	~&~'KFS1124'~&~	~&~'1'~&~	~&~'7'~&~	~&~'123'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1125'~&~	~&~'KFS1125'~&~	~&~'1'~&~	~&~'41'~&~	~&~'124'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSCNTRB789-RR1'~&~	~&~'KFSCNTRB789-RR1'~&~	~&~'1'~&~	~&~'KFSCNTRB789-ROLE1'~&~	~&~'KFSCNTRB789-RSP1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSCNTRB789-RR2'~&~	~&~'KFSCNTRB789-RR2'~&~	~&~'1'~&~	~&~'KFSCNTRB789-ROLE1'~&~	~&~'KFSCNTRB789-RSP2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSFP7037a'~&~	~&~'KFSFP7037a'~&~	~&~'1'~&~	~&~'55'~&~	~&~'126'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSMI4553-4'~&~	~&~'KFSMI4553-4'~&~	~&~'1'~&~	~&~'KFSMI4553-2'~&~	~&~'92'~&~	~&~'Y'~&~	~&~]RECORD
