HEADER[~&~	~&~DLGN_MBR_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~DLGN_ID::VARCHAR~&~	~&~MBR_ID::VARCHAR~&~	~&~MBR_TYP_CD::CHAR~&~	~&~ACTV_FRM_DT::TIMESTAMP~&~	~&~ACTV_TO_DT::TIMESTAMP~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~ROLE_MBR_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS3'~&~	~&~'1'~&~	~&~'KFS3'~&~	~&~'3'~&~	~&~'42'~&~	~&~'R'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'*'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS4'~&~	~&~'1'~&~	~&~'KFS4'~&~	~&~'4'~&~	~&~'43'~&~	~&~'R'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'*'~&~	~&~]RECORD
