HEADER[~&~	~&~ROLE_PERM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~PERM_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS10942'~&~	~&~'KFS-ROLE-PERM-379'~&~	~&~'1'~&~	~&~'3'~&~	~&~'KFS10914'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10943'~&~	~&~'KFS-ROLE-PERM-380'~&~	~&~'1'~&~	~&~'44'~&~	~&~'KFS10915'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10944'~&~	~&~'KFS-ROLE-PERM-381'~&~	~&~'1'~&~	~&~'2'~&~	~&~'KFS10916'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10945'~&~	~&~'KFS-ROLE-PERM-382'~&~	~&~'1'~&~	~&~'2'~&~	~&~'KFS10917'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10946'~&~	~&~'KFS-ROLE-PERM-383'~&~	~&~'1'~&~	~&~'KFS10906'~&~	~&~'KFS10918'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10947'~&~	~&~'KFS-ROLE-PERM-384'~&~	~&~'1'~&~	~&~'62'~&~	~&~'KFS10918'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10948'~&~	~&~'KFS-ROLE-PERM-385'~&~	~&~'1'~&~	~&~'54'~&~	~&~'KFS10817'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10957'~&~	~&~'KFS-ROLE-PERM-386'~&~	~&~'1'~&~	~&~'KFS10905'~&~	~&~'KFS10956'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS11'~&~	~&~'KFS11'~&~	~&~'1'~&~	~&~'2'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS110'~&~	~&~'KFS110'~&~	~&~'1'~&~	~&~'50'~&~	~&~'87'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1106'~&~	~&~'KFS1106'~&~	~&~'1'~&~	~&~'62'~&~	~&~'1100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1107'~&~	~&~'KFS1107'~&~	~&~'1'~&~	~&~'55'~&~	~&~'1100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1108'~&~	~&~'KFS1108'~&~	~&~'1'~&~	~&~'95'~&~	~&~'1101'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1109'~&~	~&~'KFS1109'~&~	~&~'1'~&~	~&~'31'~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1110'~&~	~&~'KFS1110'~&~	~&~'1'~&~	~&~'31'~&~	~&~'248'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1111'~&~	~&~'KFS1111'~&~	~&~'1'~&~	~&~'61'~&~	~&~'1103'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS113'~&~	~&~'KFS113'~&~	~&~'1'~&~	~&~'19'~&~	~&~'89'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS114'~&~	~&~'KFS114'~&~	~&~'1'~&~	~&~'18'~&~	~&~'89'~&~	~&~'Y'~&~	~&~]RECORD
