HEADER[~&~	~&~NTE_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~TYP_DESC_TXT::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BO'~&~	~&~'53680C68F5A9AD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'DOCUMENT BUSINESS OBJECT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DH'~&~	~&~'53680C68F5AAAD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'DOCUMENT HEADER'~&~	~&~'Y'~&~	~&~]RECORD
