HEADER[~&~	~&~ENTITY_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5B1B6B919CC96496E0404F8189D822F2'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'200811070949020000'~&~	~&~]RECORD
RECORD[~&~	~&~'1100'~&~	~&~'5B97C50B03946110E0404F8189D85213'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'200811131406350000'~&~	~&~]RECORD
RECORD[~&~	~&~'1131'~&~	~&~'5B97C50B03B36110E0404F8189D85213'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'200811131406400000'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS2'~&~	~&~'KFS2'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
