HEADER[~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NM::VARCHAR~&~	~&~DISPLAY_SORT_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'PERSON'~&~	~&~'5B97C50B03886110E0404F8189D85213'~&~	~&~'1'~&~	~&~'Person'~&~	~&~'01'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'SYSTEM'~&~	~&~'5B97C50B03896110E0404F8189D85213'~&~	~&~'1'~&~	~&~'System'~&~	~&~'02'~&~	~&~'Y'~&~	~&~]RECORD
