HEADER[~&~	~&~GRP_MBR_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~GRP_ID::VARCHAR~&~	~&~MBR_ID::VARCHAR~&~	~&~MBR_TYP_CD::CHAR~&~	~&~ACTV_FRM_DT::TIMESTAMP~&~	~&~ACTV_TO_DT::TIMESTAMP~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1122'~&~	~&~'1'~&~	~&~'5B97C50B04CB6110E0404F8189D85213'~&~	~&~'2000'~&~	~&~'notsysadm'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'200812081249570000'~&~	~&~]RECORD
RECORD[~&~	~&~'1123'~&~	~&~'1'~&~	~&~'5B97C50B04CC6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'admin'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'200812081249570000'~&~	~&~]RECORD
RECORD[~&~	~&~'1124'~&~	~&~'1'~&~	~&~'5B97C50B04CD6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'notsys'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'200812081249570000'~&~	~&~]RECORD
RECORD[~&~	~&~'1207'~&~	~&~'1'~&~	~&~'6798B3E6C3C49827AE62E5F7A275A1A3'~&~	~&~'2000'~&~	~&~'admin'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'200908110859070000'~&~	~&~]RECORD
