HEADER[~&~	~&~RSP_TMPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5ADFE172441D6320E0404F8189D85169'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Review'~&~	~&~'7'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'60432A73A6A49F65E0404F8189D86AA4'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Resolve Exception'~&~	~&~'54'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
