HEADER[~&~	~&~PERM_TMPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'66'~&~	~&~'B7DBFABEFD648CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'KR-KRAD'~&~	~&~'Edit Line Field'~&~	~&~NULL~&~	~&~'74'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'67'~&~	~&~'B7DBFABEFD658CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'KR-KRAD'~&~	~&~'Perform Line Action'~&~	~&~NULL~&~	~&~'75'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'68'~&~	~&~'BC5444677C24328CE0402E0AA9D77D80'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Recall Document'~&~	~&~NULL~&~	~&~'8'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'7'~&~	~&~'7'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Claim Electronic Payment'~&~	~&~NULL~&~	~&~'51'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8'~&~	~&~'5ADF18B6D4B77954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Take Requested Action'~&~	~&~NULL~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'9'~&~	~&~'5ADF18B6D4BB7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Ad Hoc Review Document'~&~	~&~NULL~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10444'~&~	~&~'KFS-PERM-TMPL-001'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'View Record'~&~	~&~'Template for permissions which restrict the ability to view specific records in a lookup.'~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1001'~&~	~&~'KFSSEC1001'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'View Document with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1002'~&~	~&~'KFSSEC1002'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'View Accounting Line with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1003'~&~	~&~'KFSSEC1003'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'View Notes/Attachments with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1004'~&~	~&~'KFSSEC1004'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'Edit Document with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1005'~&~	~&~'KFSSEC1005'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'Edit Accounting Line with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1006'~&~	~&~'KFSSEC1006'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'Lookup with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1007'~&~	~&~'KFSSEC1007'~&~	~&~'1'~&~	~&~'KFS-SEC'~&~	~&~'Balance Inquiry with Field Value'~&~	~&~NULL~&~	~&~'KFSSEC3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1000'~&~	~&~'CBA9C0DFF603E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Super User Approve Single Action Request'~&~	~&~NULL~&~	~&~'KR1000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1001'~&~	~&~'CBA9C0DFF604E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Super User Approve Document'~&~	~&~NULL~&~	~&~'KR1000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1002'~&~	~&~'CBA9C0DFF605E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Super User Disapprove Document'~&~	~&~NULL~&~	~&~'KR1000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1003'~&~	~&~'CEA27C3715288653E040F90A05B924A3'~&~	~&~'1'~&~	~&~'KR-SYS'~&~	~&~'Backdoor Restriction'~&~	~&~'Backdoor Restriction'~&~	~&~'KR1001'~&~	~&~'Y'~&~	~&~]RECORD
