HEADER[~&~	~&~KIM_TYP_ATTR_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~SORT_CD::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'92'~&~	~&~'92'~&~	~&~'1'~&~	~&~'a'~&~	~&~'48'~&~	~&~'42'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'95'~&~	~&~'5C997D14EAC3FE40E0404F8189D87DC5'~&~	~&~'1'~&~	~&~'a'~&~	~&~'52'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'96'~&~	~&~'5C997D14EAC4FE40E0404F8189D87DC5'~&~	~&~'1'~&~	~&~'b'~&~	~&~'52'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'97'~&~	~&~'5C997D14EAC5FE40E0404F8189D87DC5'~&~	~&~'1'~&~	~&~'c'~&~	~&~'52'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'98'~&~	~&~'98'~&~	~&~'1'~&~	~&~'a'~&~	~&~'53'~&~	~&~'42'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10239'~&~	~&~'KFS-TYP-ATTR-000'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10249'~&~	~&~'KFS10236'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10240'~&~	~&~'KFS-TYP-ATTR-001'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10250'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10241'~&~	~&~'KFS-TYP-ATTR-002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFS10250'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10242'~&~	~&~'KFS-TYP-ATTR-003'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KFS10250'~&~	~&~'25'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10243'~&~	~&~'KFS-TYP-ATTR-004'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10251'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10244'~&~	~&~'KFS-TYP-ATTR-005'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFS10251'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10245'~&~	~&~'KFS-TYP-ATTR-006'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KFS10251'~&~	~&~'25'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10246'~&~	~&~'KFS-TYP-ATTR-007'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10252'~&~	~&~'KFS10236'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10247'~&~	~&~'KFS-TYP-ATTR-008'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10254'~&~	~&~'KFS10238'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS105'~&~	~&~'KFS105'~&~	~&~'1'~&~	~&~'a'~&~	~&~'6'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS106'~&~	~&~'KFS106'~&~	~&~'1'~&~	~&~'b'~&~	~&~'6'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10683'~&~	~&~'KFS-TYP-ATTR-009'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10681'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10684'~&~	~&~'KFS-TYP-ATTR-010'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFS10681'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10685'~&~	~&~'KFS-TYP-ATTR-011'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KFS10681'~&~	~&~'KFS10682'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10899'~&~	~&~'KFS-TYP-ATTR-012'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS10897'~&~	~&~'KFS10891'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10900'~&~	~&~'KFS-TYP-ATTR-013'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFS10897'~&~	~&~'KFS10892'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10901'~&~	~&~'KFS-TYP-ATTR-014'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KFS10897'~&~	~&~'KFS10893'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10902'~&~	~&~'KFS-TYP-ATTR-015'~&~	~&~'1'~&~	~&~'d'~&~	~&~'KFS10897'~&~	~&~'KFS10894'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10903'~&~	~&~'KFS-TYP-ATTR-016'~&~	~&~'1'~&~	~&~'e'~&~	~&~'KFS10897'~&~	~&~'KFS10895'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10904'~&~	~&~'KFS-TYP-ATTR-017'~&~	~&~'1'~&~	~&~'f'~&~	~&~'KFS10897'~&~	~&~'KFS10896'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS110'~&~	~&~'KFS110'~&~	~&~'1'~&~	~&~'a'~&~	~&~'62'~&~	~&~'45'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS113'~&~	~&~'KFS113'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFS68'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS114'~&~	~&~'KFS114'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFS68'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSCNTRB199-TYPATTR1'~&~	~&~'KFSCNTRB199-TYPATTR1'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSCNTRB199-TYP1'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSCNTRB199-TYPATTR2'~&~	~&~'KFSCNTRB199-TYPATTR2'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFSCNTRB199-TYP1'~&~	~&~'KFSCNTRB199-ATTRDEF1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSMI6886-TYPEATTR'~&~	~&~'KFSMI6886-TYPEATTR'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSMI6886-TYP'~&~	~&~'KFSMI6886-ATTRDEF'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1001'~&~	~&~'KFSSEC1001'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSSEC1'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1002'~&~	~&~'KFSSEC1002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFSSEC1'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1003'~&~	~&~'KFSSEC1003'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSSEC2'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1004'~&~	~&~'KFSSEC1004'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSSEC3'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1005'~&~	~&~'KFSSEC1005'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFSSEC3'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1006'~&~	~&~'KFSSEC1006'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KFSSEC4'~&~	~&~'KFSSEC102'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1007'~&~	~&~'KFSSEC1007'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KFSSEC4'~&~	~&~'KFSSEC100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1008'~&~	~&~'KFSSEC1008'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KFSSEC4'~&~	~&~'KFSSEC101'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1009'~&~	~&~'KFSSEC1009'~&~	~&~'1'~&~	~&~'d'~&~	~&~'KFSSEC4'~&~	~&~'KFSSEC103'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFSSEC1010'~&~	~&~'KFSSEC1010'~&~	~&~'1'~&~	~&~'d'~&~	~&~'47'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1000'~&~	~&~'CBA9C0DFF600E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'a'~&~	~&~'KR1000'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1001'~&~	~&~'CBA9C0DFF601E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'b'~&~	~&~'KR1000'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1002'~&~	~&~'CBA9C0DFF602E80EE040F90A05B97BE4'~&~	~&~'1'~&~	~&~'c'~&~	~&~'KR1000'~&~	~&~'15'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1003'~&~	~&~'CEA27C3715278653E040F90A05B924A3'~&~	~&~'1'~&~	~&~'A'~&~	~&~'KR1001'~&~	~&~'KR1000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR1004'~&~	~&~'CEA27C37152A8653E040F90A05B924A3'~&~	~&~'1'~&~	~&~'b'~&~	~&~'21'~&~	~&~'KR1001'~&~	~&~'Y'~&~	~&~]RECORD
