HEADER[~&~	~&~KIM_TYP_ATTR_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~SORT_CD::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'18'~&~	~&~'5ADF18B6D4DE7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'11'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'19'~&~	~&~'5ADF18B6D4E47954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'12'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'5ADF18B6D4B67954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'4'~&~	~&~'14'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'20'~&~	~&~'5ADF18B6D4E57954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'12'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'21'~&~	~&~'5ADF18B6D4E87954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'13'~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'22'~&~	~&~'5ADF18B6D4EB7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'14'~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'23'~&~	~&~'5ADF18B6D4EE7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'15'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'24'~&~	~&~'5ADF18B6D4EF7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'15'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'25'~&~	~&~'5ADF18B6D4F37954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'16'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'26'~&~	~&~'5ADF18B6D4F47954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'16'~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'27'~&~	~&~'5ADF18B6D4F57954E0404F8189D85002'~&~	~&~'1'~&~	~&~'c'~&~	~&~'16'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'28'~&~	~&~'5ADF18B6D4F87954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'17'~&~	~&~'12'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'29'~&~	~&~'5ADF18B6D4FA7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'18'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'3'~&~	~&~'5ADF18B6D4B97954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'5'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'30'~&~	~&~'5ADF18B6D4FB7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'18'~&~	~&~'18'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'31'~&~	~&~'5ADF18B6D4FE7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'19'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'32'~&~	~&~'5ADF18B6D4FF7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'19'~&~	~&~'19'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'33'~&~	~&~'5ADF18B6D5027954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'20'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'34'~&~	~&~'5ADF18B6D5037954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'20'~&~	~&~'20'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'35'~&~	~&~'5ADF18B6D5067954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'21'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'36'~&~	~&~'5ADF18B6D5077954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'21'~&~	~&~'21'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'38'~&~	~&~'38'~&~	~&~'1'~&~	~&~'a'~&~	~&~'23'~&~	~&~'29'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'39'~&~	~&~'39'~&~	~&~'1'~&~	~&~'b'~&~	~&~'24'~&~	~&~'34'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'4'~&~	~&~'5ADF18B6D4BA7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'5'~&~	~&~'14'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'40'~&~	~&~'40'~&~	~&~'1'~&~	~&~'a'~&~	~&~'25'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'41'~&~	~&~'41'~&~	~&~'1'~&~	~&~'a'~&~	~&~'26'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'42'~&~	~&~'42'~&~	~&~'1'~&~	~&~'b'~&~	~&~'26'~&~	~&~'23'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'43'~&~	~&~'43'~&~	~&~'1'~&~	~&~'a'~&~	~&~'27'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'44'~&~	~&~'44'~&~	~&~'1'~&~	~&~'b'~&~	~&~'27'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'45'~&~	~&~'45'~&~	~&~'1'~&~	~&~'a'~&~	~&~'28'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'46'~&~	~&~'46'~&~	~&~'1'~&~	~&~'b'~&~	~&~'28'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'47'~&~	~&~'47'~&~	~&~'1'~&~	~&~'c'~&~	~&~'28'~&~	~&~'25'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'48'~&~	~&~'48'~&~	~&~'1'~&~	~&~'b'~&~	~&~'29'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'49'~&~	~&~'49'~&~	~&~'1'~&~	~&~'c'~&~	~&~'29'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'50'~&~	~&~'50'~&~	~&~'1'~&~	~&~'a'~&~	~&~'29'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'51'~&~	~&~'51'~&~	~&~'1'~&~	~&~'b'~&~	~&~'30'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'52'~&~	~&~'52'~&~	~&~'1'~&~	~&~'c'~&~	~&~'30'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'53'~&~	~&~'53'~&~	~&~'1'~&~	~&~'a'~&~	~&~'30'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'54'~&~	~&~'54'~&~	~&~'1'~&~	~&~'d'~&~	~&~'30'~&~	~&~'26'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'55'~&~	~&~'55'~&~	~&~'1'~&~	~&~'e'~&~	~&~'30'~&~	~&~'27'~&~	~&~'Y'~&~	~&~]RECORD
