HEADER[~&~	~&~INV_TRNS_MTHD_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~INV_TRNS_MTHD_DESC::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'EMAIL'~&~	~&~'EDC0BE4713F43031E040E00ABCD64EE1'~&~	~&~'1'~&~	~&~'Through Email'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MAIL'~&~	~&~'EDC0BE4713F53031E040E00ABCD64EE1'~&~	~&~'1'~&~	~&~'Through Mail'~&~	~&~'Y'~&~	~&~]RECORD
