HEADER[~&~	~&~EXP_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~EXP_TYP_NM::VARCHAR~&~	~&~GRP_TRVL_IND::VARCHAR~&~	~&~EXP_DETAIL_REQ_IND::VARCHAR~&~	~&~EXP_PRPY_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~HOSTED_IND::VARCHAR~&~	~&~EXP_TYP_META_CTGRY_CD::VARCHAR~&~	~&~CTGRY_DFLT_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'MM'~&~	~&~'E95C19896B4A1184E040E00ABCD6393A'~&~	~&~'1'~&~	~&~'Mileage - Motorcyle'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'MP'~&~	~&~'E95C19896B481184E040E00ABCD6393A'~&~	~&~'1'~&~	~&~'Mileage - Privately Owned Vehicle'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'MR'~&~	~&~'E590387759A6502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Moving Equipmental Rental'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'MT'~&~	~&~'E590387759AD502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Temporary Living'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'O'~&~	~&~'E590387759AE502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Other'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'E5903877599A502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Airfare'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'A'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PC'~&~	~&~'E590387759B2502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Conference Registration'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PL'~&~	~&~'E590387759A5502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Lodging'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'L'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PM'~&~	~&~'E590387759A7502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Moving Equipment Rental'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PO'~&~	~&~'E590387759B0502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Other'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'PS'~&~	~&~'E590387759B7502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Prepaid Show Tickets'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'R'~&~	~&~'E590387759B3502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Automobile Rental'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'R'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'ST'~&~	~&~'E590387759B5502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Show Tickets'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'T'~&~	~&~'E590387759B8502CE040E00ABCD649A0'~&~	~&~'1'~&~	~&~'Taxi/Limousine Service'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'W'~&~	~&~'EFF2B17051E26E0EE040E00ABCD63D99'~&~	~&~'1'~&~	~&~'Lodging Allowance'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'W'~&~	~&~'Y'~&~	~&~]RECORD
