HEADER[~&~	~&~CODE::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~ADVANCES_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'EMP'~&~	~&~'Employee'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'1'~&~	~&~'BD96AA2415805898E040540A5EFD3A74'~&~	~&~]RECORD
RECORD[~&~	~&~'NON'~&~	~&~'Non-Employee'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'1'~&~	~&~'BD96AA2415815898E040540A5EFD3A74'~&~	~&~]RECORD
