HEADER[~&~	~&~CODE::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'CORP'~&~	~&~'Corporate Travel'~&~	~&~'Y'~&~	~&~'1'~&~	~&~'C5D5A3887C2FB054E040DA0AAE013EDF'~&~	~&~]RECORD
RECORD[~&~	~&~'CTS'~&~	~&~'CTS Travel'~&~	~&~'Y'~&~	~&~'1'~&~	~&~'C5D5A3887C2EB054E040DA0AAE013EDF'~&~	~&~]RECORD
