HEADER[~&~	~&~CG_LTRCR_FNDGRP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~LTRCR_FNDGRP_DESC::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'XGSF'~&~	~&~'12D4ED215A1BEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp Goddard Space Flight Center'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XHHS'~&~	~&~'12D4ED215A12EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp United States Dept of Health & Human'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XHRL'~&~	~&~'12D4ED215A25EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Expired Human Rights and Labor'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XHUD'~&~	~&~'12D4ED215A1FEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp Housing and Urban Development'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XNAS'~&~	~&~'12D4ED215A13EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp Natl. Aeronautics and Space Admin.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XNEH'~&~	~&~'12D4ED215A14EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp Nat'l Endowment for the Humanities'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XNOA'~&~	~&~'12D4ED215A1EEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp National Oceanic & Atmospheric Admin'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XNSF'~&~	~&~'12D4ED215A15EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp National Science Foundation'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUAG'~&~	~&~'12D4ED215A22EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Dept of Agriculture'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUAI'~&~	~&~'12D4ED215A16EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Agency for Intntl Dev'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSD'~&~	~&~'12D4ED215A17EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Dept of Agriculture'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSE'~&~	~&~'12D4ED215A18EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp United States Department of Educ'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSG'~&~	~&~'12D4ED215A1AEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Geological Survey'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSI'~&~	~&~'12D4ED215A19EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Department of State'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSL'~&~	~&~'12D4ED215A21EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Expired U.S. Department of Labor'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'XUSS'~&~	~&~'12D4ED215A23EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Exp U.S. Department of State'~&~	~&~'Y'~&~	~&~]RECORD
