HEADER[~&~	~&~CG_PRPSL_CLOSE_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_LAST_CLOSED_DT::TIMESTAMP~&~	~&~CGAWD_CLOSED_CNT::DECIMAL~&~	~&~CGPRPSL_CLOSED_CNT::DECIMAL~&~	~&~PERSON_USER_ID::VARCHAR~&~	~&~CG_USR_INITIATE_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'115'~&~	~&~'237D10FAAC1EC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200403310000000000'~&~	~&~'0'~&~	~&~'3'~&~	~&~'MESCHICK'~&~	~&~'200405250000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'116'~&~	~&~'237D10FAAC1FC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200404300000000000'~&~	~&~'210'~&~	~&~'307'~&~	~&~'MESCHICK'~&~	~&~'200406250000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'117'~&~	~&~'237D10FAAC20C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200405310000000000'~&~	~&~'211'~&~	~&~'376'~&~	~&~'EWORKMAN'~&~	~&~'200407090000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'118'~&~	~&~'237D10FAAC21C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200406300000000000'~&~	~&~'212'~&~	~&~'351'~&~	~&~'MESCHICK'~&~	~&~'200407200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'119'~&~	~&~'237D10FAAC22C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200405310000000000'~&~	~&~'0'~&~	~&~'0'~&~	~&~'MESCHICK'~&~	~&~'200407210000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'12'~&~	~&~'237D10FAABB7C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199605310000000000'~&~	~&~'145'~&~	~&~'263'~&~	~&~'SPOLLARD'~&~	~&~'199606260000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'120'~&~	~&~'237D10FAAC23C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200406300000000000'~&~	~&~'0'~&~	~&~'0'~&~	~&~'MESCHICK'~&~	~&~'200407220000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'121'~&~	~&~'237D10FAAC24C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200407310000000000'~&~	~&~'313'~&~	~&~'316'~&~	~&~'MESCHICK'~&~	~&~'200408300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'122'~&~	~&~'237D10FAAC25C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200408310000000000'~&~	~&~'213'~&~	~&~'297'~&~	~&~'MESCHICK'~&~	~&~'200410180000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'123'~&~	~&~'237D10FAAC26C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200409300000000000'~&~	~&~'242'~&~	~&~'347'~&~	~&~'MESCHICK'~&~	~&~'200410280000000000'~&~	~&~]RECORD
